name,description,latitude,longitude,max_occupancy,num_bathrooms,num_bedrooms,num_beds,price,comment1,comment2,comment3
Skylit Midtown Castle,"Beautiful, spacious skylit studio in the heart of Midtown, Manhattan. STUNNING SKYLIT STUDIO / 1 BED + SINGLE / FULL BATH / FULL KITCHEN / FIREPLACE / CENTRALLY LOCATED / WiFi + APPLE TV / SHEETS + TOWELSThe space- Spacious (500+ft≤), immaculate and nicely furnished & designed studio.- Tuck yourself into the ultra comfortable bed under the skylight. Fall in love with a myriad of bright lights in the city night sky. - Single-sized bed/convertible floor mattress with luxury bedding (available upon request).- Gorgeous pyramid skylight with amazing diffused natural light, stunning architectural details, soaring high vaulted ceilings, exposed brick, wood burning fireplace, floor seating area with natural zafu cushions, modern style mixed with eclectic art & antique treasures, large full bath, newly renovated kitchen, air conditioning/heat, high speed WiFi Internet, and Apple TV.- Centrally located in the heart of Midtown Manhattan",40.75362,-73.98377,2,1,1,1,$175.00 ,Apartment was very nice with  awsome view on the ocean .Grate location.  ,nice and clean apartment with a beautiful view,The experience was great! Will definitely stay again next year. 
"Whole flr w/private bdrm, bath & kitchen(pls read)","Enjoy 500 s.f. top floor in 1899 brownstone, w/ wood & ceramic flooring throughout, roomy bdrm, & upgraded kitchen & bathroomThis space is unique but one of the few legal AirBnbs with a totally private bedroom, private full bathroom and private eat-in kitchen, SO PLEASE READ ""THE SPACE"" CAREFULLYIt's sunny & loaded with everything you need! Your floor, and the common staircase/hallway/entryway are cleaned/sanitized per Airbnb's Enhanced Cleaning Protocol.The spaceWe host on the entire top floor of our double-duplex brownstone in Clinton Hill on Gates near Classon Avenue - (7 blocks to C train, 5 blocks to G train, minutes to downtown Brooklyn & lower Manhattan)It is not an apartment in the traditional sense, it is more of an efficiency set-up and is TOTALLY LEGAL with all short-term rental laws. The top floor for our guests consists of a sizable bedroom, full bath and eat-in kitchen for your exclusive use - you get the amenities of a private apartment ",40.68514,-73.95976,3,1,1,3,$75.00 ,Great experience. Great host. Wonderful service. I am booking the location again when I am in town. ,"The apartment was as described, very clean and well maintained. More than needed was provided in terms of towels, cookware and dinnerware. The wifi in the apt was fast. The checkin and checkout were done smoothly and the hotel personal was always very helpful. The apartment caretaker was courteous and very quick and prompt to answer my questions. Very efficient. I will definitely be back.",Very nice property and location. Will definitely use again and again
BlissArtsSpace!,"The spaceHELLO EVERYONE AND THANKS FOR VISITING BLISS ART SPACE! Thank you all for your support. I've traveled a lot in the last year few years, to the  U.K. Germany, Italy and France! Loved Paris, Berlin and Calabria! Highly recommend all these places. One room available for rent in a 2 bedroom apt in Bklyn. We share a common space with kitchen. I am an artist(painter, filmmaker) and curator who is working in the film industry while I'm building my art event production businesses.Price above is nightly for one person. Monthly rates available.  Price is $900 per month for one person. Utilities not included, they are about 50 bucks, payable when the bill arrives mid month. Couples rates are slightly more for monthly and 90$ per night short term. If you are a couple please Iet me know and I'll give you the monthly rate for that. Room rental is on a temporary basis, perfect from 2- 6 months - no long term requests please! ",40.68688,-73.95596,2,1,1,1,$60.00 ,"Great aparment, exactly as described on the web. If we come back i will rent it again.","The location was perfect, right across the street from the beach, towels and chairs provided on the beach, nice pool area with two hot tubs that our family used each night, overlooking the ocean.  The unit was as listed, clean, comfortable bed, pull out was shared by our two boys.  Valet is required but they were quick, and there is an extra fee for the internet.",We booked this place for my parents and they had the most fantastic stay! They loved everything about this room. All communication with Karim was excellent and check in was a breeze. The room was exactly as shown in photos and the view was incredible. The beach out front was perfect and the pool was also lovely. Breakfast by the pool was delicious. Lots of restaurants available within walking distance. Karim also has a couple lounge chairs and a beach umbrella for use so you don't have to rent them at the beach. I know my parents would stay here again in a heartbeat. Thanks for everything Karim. 
"Spacious Brooklyn Duplex, Patio + Garden","We welcome you to stay in our lovely 2 br duplex in South Slope, Brooklyn.  Our home is a truly spacious respite from the busy city- close to subways, restaurants, cafes and parks.  Enjoy a gourmet kitchen, patio, grill, backyard!The spaceSleeps 4 comfortably- king bed in master bedroom, 2 twin bunk beds in 2nd br.  We have a third bedroom that will be locked for storage. We are located just steps from 5th Ave. restaurants, bars, coffeeshops, and shopping + 3 blocks from the R train, 15 min walk to Prospect Park.Lower Manhattan is  a 15-20 min subway ride away.  Midtown/theater district 30-40 min subwayNote:  This is our home, we live here with our two chicldren and leave the condo clean.  Our belongings will remain in our house, and stowed away in closets / on shelves.  We will set aside room in closets and dressers for your use.Guest accessEntire duplex apt is free to use, except for computer desk, and selected",40.6612,-73.99423,4,1.5,2,2,$175.00 ,This was  really nice space with view of the ocean and as good as advertised.I would stay there again ,This condo is fantastic. Staff were overly accommodating and hosts were contactable at all times. View from the balcony is worth this stay by itself! Will recommend ,Excellent choice in ft lauderdale. Provides access to the Hilton resort gym.
Large Furnished Room,"Please don't expect the luxury here just a basic room in the center of Manhattan.The spaceYou will use one large, furnished, private room of a two-bedroom apartment and share a bathroom with the host.  The apartment is located a few blocks away from Central Park between 8th and 9th Avenue.The closest subway station is Columbus Circle 59th Street.  Great restaurants, Broadway and all transportation are easily accessible. The cost of the room is $79 per night.  Weekly rate is available.There is a $12.00 fee per guest. The apartment also features hardwood floors and a second-floor walk-up. There is a full-sized bed,TV, microwave, and a small refrigerator as well as other appliances.  Wired internet, WIFI, TV, electric heat, bed sheets and towels are included. A kitchen is available in the living room. You can come in any time except midnight.  Basic check in/out time is 12pm. I am ",40.76489,-73.98493,2,1,1,1,$65.00 ,Great Location. Grest Host. We felt very welcome and comfortable. Everything like on the pictures. The communication was perfect.,"Great place , we enjoyed the stay . Near to restaurants and the mall. Beautiful view . ",Quiet and upscale...exactly as advertised.  Loved it.  Thank you.
Cozy Clean Guest Room - Family Apt,"Our best guests are seeking a safe, clean, spare room in a family apartment.  They are comfortable being independent, accommodating of family noise (quiet hours 11pm-7am), and aren't afraid of a friendly two year old golden lab (dog).  Our guests aren't put off by an old bathroom that while perfectly clean, has some peeling paint.  In short, our guests want to feel like they are staying at their sister's apartment while visiting the city! (only their sister changed the sheets and cleaned).The spaceStay in my family's little  guest room and enjoy privacy, a warm welcome, and security. Your guest room is comfortable and clean.   It is small but well outfitted, has a single bed and a fabulous mattress which is firm and yet pillowy on top, all at the same time. The bathroom is shared and immediately across the hall. (""Shared"" in the sense it isn't ""en suite."" The family will use our second bath while you are staying with us). The bathroom is fully suppl",40.80178,-73.96723,1,1,1,1,$75.00 ,Just spent a wonderful week in this condo. My first experience with airbnb and this host and both are 5 star. The condo is triple mint condition and Karim is is very responsive to any questions. Pictures accurately represent the condo. Out the door and you are on the beach. Total luxury and the balcony is great for lunch or late night drinks. I will be a repeat customer after my best visit ever to Fort Lauderdale. ,Everything was great.  We look forward to coming back in March,Beautiful condo in a great location with a great view.  Just be prepared for $39 per day for valet parking.
Cute & Cozy Lower East Side 1 bdrm,"Live like a New Yorker instead of a stuffy, tiny, overpriced hotel. My small yet cozy one bedroom apartment is nestled in the southern part of the historic lower east side, steps to the subway and walking distance to the coolest neighborhoods.The spacePLEASE NOTE: do not automatically book with out messaging me first. Thanks!My apartment is a cute, cozy, 1 bdrm apt in the Lower East Side (LES) adjacent to Chinatown in lower Manhattan, steps to F train, East Broadway stop and very close to Canal/Delancey streets where many hip bars, restaurants and shops are in the LES. Apt is clean, has a fully equipped kitchen, cable TV, A/C, heat, and wireless internet. Apt is located on 2nd floor of well maintained walk up building. Walking distance to Soho, East Village, Little Italy, Chinatown and very close to Dumbo and Williamsburg, Brooklyn. You have place to yourself-better than a hotel! Prices listed are for up to two people only. Possibl",40.71344,-73.99037,2,1,1,1,$140.00 ,"Our stay in Fort Lauderdale was fantastic. The apartment was absolutely perfect. Stunning views, convenient mini kitchen, huge bathroom, in suite washer/dryer all stylishly decorated. it was a breeze to check in/out and we used all the hotel amenities as well. I can't say enough about the apartment and we will definitely check with Karim when we need a relaxing sun vacation again.","We never met the owners but we had a great vacay at the hilton apartment. Nice and clean rooms with a ocean view balcony. The location was good, close to the beach, restaurants etc. Will definitely stay here again with my friends. ",Everything was fine and as stated. Owner was responsive the couple of times we needed him 
Spacious river view in the West Village,"Beautiful, spacious, light-filled 1-bedroom apartment in historic neighborhood.The space(The cats in the photos have moved on to a fluffier abode in the sky - there are no feline residents in the apartment.)  Please forgive me (!), but I don't usually feel comfortable with 20-somethings. This is my precious home and I need reassurance that my guests are detail-oriented and conscientious. If you inquire, please share a bit about yourself -- thank you!Spacious, bright, 900-sqare-foot riverview apartment in the quiet, historic West Village (tree-lined streets, brownstones) steps from shops, restaurants, and many other great NYC neighborhoods. Adjacent to the trendy Meat Packing District, and easily walkable to Chelsea, Soho, Tribeca, the East Village, and more. Farmer's Market on Saturday's 2 blocks from apartment. Short subway ride to the Theater District, Upper West Side, Central Park, and even Brooklyn! Across the Street from Hudson River Park",40.73552,-74.01042,2,1,1,1,$160.00 ,"Great room, great view, amazing bathroom and kitchen for a hotel room. The price is just right for the location. Will defiantly book again if/when we come back to Ft Lauderdale.  ","This condo quite didn't meet my expectations.  It showed clear signs of wear and tear and could have used a more thorough cleaning. At $400/night, I expected a lot more, but this is the trade-off when you rent someone else's house. Karim was very responsive throughout and offered to address some of my complaints.  But most of my issues were replace and/or repair which couldn't be completed in a 2 to 3 day window. This was my first experience with Airbnb and I wasn't thrilled with it. Renting out someone's home is NOT the same as renting a room from a professionally managed hotel. An obvious point perhaps, made crystal clear during my stay. With most hotels if you're dissatisfied with your room you are either given another room or only charged for the time you stay. Not with this property given the strict rental agreement. Once you pay, you're pretty much out the money. I understood this going in, but I thought there'd be more flexibility if the place wasn't quite up to par. Just something you should be aware of before signing on the dotted line.","Great location!  During our stay, Karim put us in touch with a gentleman named Gary who was immediately responding to any questions or concerns we had.    The condo was nice & clean.   We enjoyed the perks Hilton resorts, especially the pool area.   Would definitely consider renting from Karim again.   "
"Lovely Room 1, Garden, Best Area, Legal rental","Discounted now!   Beautiful house, gorgeous garden, patio, cozy room, and helpful host!   Super safe and quiet in beautiful, vibrant Park Slope!  Please read,  then WRITE to me about your  trip, and needs.  Please do NOT request reservation until I reply ""yes "".   I want to be sure it's right for you!Close to great restaurants, culture, Prospect Park.  3 minutes walk to 3 subway lines, 20 mins to Manhattan.LEGAL rental -- per NY laws.  Six gyms nearby.The spaceWelcome to an historic, stunning 4-story Brooklyn house, in super safe, quiet and friendly Park Slope.   140 year old house filled with light, color, artwork.  Large beautiful garden and patio.  Legal rental.  Top floor is private for you during Covid period. Three excellent SUBWAY LINES (R, F, G)   2 minutes walk, 20 mins to Manhattan. Please write to me with your details;   Wait til I reply ""yes"" before requesting room.Discounts available for longer stay.<",40.66829,-73.98779,2,1.5,1,2,$88.00 ,"I cannot say enough about both the host and the listing ... they were perfect!  Karim was extremely responsive and accommodating as I had to make a couple changes and was delayed a bit in making my final booking.  He returned every message within hours and answered every question I had.  The check-in process was a breeze, as Karim has provided very easy, detailed instructions for our arrival.

The room/condo was just as gorgeous in person as in the photos.  And the view was breathtaking.  Everything was very clean and all the necessities were provided.  The bed was extremely comfortable and the kitchenette was perfectly appointed.  

The Hilton itself is beautiful with a great pool on the 6th floor that overlooks the beach across the street.  And the beach is very nice with towels and water provided.  Is is within easy walking distance to plenty of shopping and restaurants, as well as jet-skiing and other beach activities.

My son and I truly enjoyed our stay and I highly recommend booking with Karim and his beautiful condo.","wonderful room and building. clean and well taken care of. air conditioning works very well. access to the pool and jacuzzi is simple and delightful. the beach is right there and restaurants are all in walking distance. wifi available. parking is cheaper at the avalon next door. we paid $70 for seven days, which was a great deal. if you want to really enjoy your stay in fort lauderdale, this room is it! Be smart and book it",Great location and wonderful communication with host and his assistant. Apt could use some cosmetic fixes and updates but overall quiet and peaceful. 
"Bright, Modern Garden Unit","Cleaning Protocol: Our cleaners follow the Airbnb's enhanced cleaning protocol, which thoroughly cleans and sanitizes the apartment between all guests.Construction: The house next door is under construction. Rates are discounted.Our bright garden unit overlooks a grassy backyard area with fruit trees and native plants. It is an oasis in a big city. The apartment comfortably fits a couple or small family. It is located on a cul de sac street that ends at lovely Duboce Park.The spaceNewly remodeled, modern, and bright garden unit in historic Victorian home. New fixtures and finishes.Zero VOC and non-toxic paint.Organic and fair-trade teas, fresh local ground coffee.Local art on walls.Sofa bed and Queen bed are in the same room. More of a petite apartment with a separate room for dining and kitchen.Guest accessFull access to patio and backyard (Shared)Beautiful garden with f",37.76931,-122.43386,3,1,1,2,$132.00 ,Excellent condo and looks exactly as pictured. Owners were awesome and helpful.  Resort was great too. ,I stayed in Karim's unit for 4 daus in April. The Condo is exactly as described and in excellent condition. The hotel was wonderful to deal with and provided us with the same service as if we were thier personal guests. The room had an amazing view and there was everything you need for your stay. Although we never did meet Karim - his contact Gary did reach out to us on different occasions to offer help and see if everything was ok. The location was excellent close to shops and restaurants.  I would definitely recommend this unit to anyone visiting Ft Lauderdale. ,"What a great place on the beach! Amazing view, easy walks, and all of the things you would expect from a Hilton property. Definitely use this again when needed. "
Creative Sanctuary,"The spaceWe live in a large Victorian house on a quiet street, nestled between the Mission district and Noe Valley. We're one block from the streetcar stop and five blocks from the subway. We have three bedrooms, two of which have double beds and windows which cast their light upon the high, warm colored walls and ceilings of this haven. We have lots of spaces in the house where you can relax, read, listen to music and just cozy up. The kitchen is well stocked and we have a bountiful garden and back deck.   Amenities include: Laundry, wireless, sun room, garden, sun deck and a full kitchen. We also have a library (not perfectly organized but filled with great books).  We both are self employed creatives. I own a business involved in art and design and Tania is an arts journalist. We enjoy meeting people and are well versed in the art and design communities of the Bay Area. We also know some really good haunts.Guest accessOur",37.74511,-122.42102,5,1,2,3,$235.00 ,"We travelled to Fort Lauderdale for work/pleasure on very short notice.  Karim was very helpful throughout the reservation process and also assisted us once we had arrived.  The unit that we rented was perfect for our needs.  It provided us with a small, clean kitchenette that allowed us to have some of our meals ""at home"" rather than having to eat each meal out.  The unit had a beautiful balcony that provided a nice view of the beach across the street.  The amenities were available to us as well, and we enjoyed the pool and fitness center.  Would highly recommend the unit.  Space is ideal for a couple, however, there is enough room for 4 comfortably.  This would require 2 to sleep in the king bed in the bedroom and 2 to sleep on the pull out sofa.  No sleeping complaints from my teenage children.",It was my first AirBnB experience and it was a good one.  Exactly as described and accurate.,Place is exactly as the pictures. Great views of the water. Nice building (combo hotels/condos) with a good pool area
A Friendly Room - UCSF/USF - San Francisco,"Nice and good public transportation.  7 minutes walk to UCSF.  15 minutes walk to USF, ST Mary Hospital Room rental-sunny view room/sink/Wi Fi (inner sunset / UCSF) (map)The place is located within walking distance to Golden Gate Park, UCSF &  USFThe spaceSettle down, S.F. resident, student, hospital, job relocated, rotation. Monthly rental, short term staying - Nice public transportation location. No tourist or transient.  No pet no smoking no party inside the building.Medium private lock room(130 square feet) single person. Large private lock room(190 square feet) single person.Extra large private room(230 square feet)  single person.Additional bed $12 per night.Surround by sunny view and good transportation. Room with sink(apartment style - shared large eat in kitchen/2 full & 2 half  bathrooms). Quiet house under management. Wa",37.76555,-122.45213,2,4,1,1,$56.00 ,Karim was very accommodating and the house was lovely.  The place had the perfect mix of pool and beach.  I would recommend Karim's suite to any of my friends.  ,"The apartment was advertised just as the photos.. great location, great hotel.  Karim was very accomodating and responsive to any questions I had.  I would highly recommend this unit and would return again in the future.","The apartment is just perfect! 
The beach and restaurants are close by so that everything is in walking distance :-) And the view from the balcony is amazing! 
At the back of the hotel there is another small apartment block where you can get a cheap parking place :-)

Many thanks again for the great time at your apartment Karim! "
Friendly Room Apt. Style -UCSF/USF - San Francisco,"Nice and good public transportation.  7 minutes walk to UCSF.  15 minutes walk to USF, ST Mary Hospital Room rental-sunny view room/sink/Wi Fi (inner sunset / UCSF) (map)The place is located within walking distance to Golden Gate Park, UCSF &  USFThe spaceSettle down, S.F. resident, student, hospital, job relocated, rotation. Monthly rental, short term staying - Nice public transportation location. No tourist or transient.  No pet no smoking no party inside the building.Medium private lock room(130 square feet) single person. Large private lock room(190 square feet) single person.Extra large private room(230 square feet)  single person.Additional bed $12 per night.Surround by sunny view and good transportation. Room with sink(apartment style - shared large eat in kitchen/2 full & 2 half  bathrooms). Quiet house under management. Wa",37.76555,-122.45213,2,4,1,1,$56.00 ,Wonderful Stay!!!,My wife and I stayed at Karims condo for two weeks.  Everything was perfect.  We enjoyed our stay and look forward to visiting again.,"Great location, wonderful view of the beach. Easy check in, and friendly staffs of the resort. We really enjoyed our stay."
